source_file,line_number,detected_format,confidence,timestamp,ip,hostname,user,method,path,status_code,size,process,message,raw_line
apache_access.log,1,apache,100.0,21/May/2026:08:12:03 +0000,192.168.1.45,,,GET,/index.html,200,1024,,,"192.168.1.45 - - [21/May/2026:08:12:03 +0000] ""GET /index.html HTTP/1.1"" 200 1024 ""-"" ""Mozilla/5.0"""
apache_access.log,2,apache,100.0,21/May/2026:08:12:11 +0000,10.0.0.7,,,POST,/login,401,312,,,"10.0.0.7 - - [21/May/2026:08:12:11 +0000] ""POST /login HTTP/1.1"" 401 312 ""-"" ""curl/8.0"""
apache_access.log,3,apache,100.0,21/May/2026:08:12:12 +0000,10.0.0.7,,,POST,/login,401,312,,,"10.0.0.7 - - [21/May/2026:08:12:12 +0000] ""POST /login HTTP/1.1"" 401 312 ""-"" ""curl/8.0"""
apache_access.log,4,apache,100.0,21/May/2026:08:12:13 +0000,10.0.0.7,,,POST,/login,401,312,,,"10.0.0.7 - - [21/May/2026:08:12:13 +0000] ""POST /login HTTP/1.1"" 401 312 ""-"" ""curl/8.0"""
apache_access.log,5,apache,100.0,21/May/2026:08:13:22 +0000,192.168.1.45,,,GET,/about.html,200,892,,,"192.168.1.45 - - [21/May/2026:08:13:22 +0000] ""GET /about.html HTTP/1.1"" 200 892 ""-"" ""Mozilla/5.0"""
apache_access.log,6,apache,100.0,21/May/2026:08:14:01 +0000,45.33.32.156,,,GET,/admin,403,0,,,"45.33.32.156 - - [21/May/2026:08:14:01 +0000] ""GET /admin HTTP/1.1"" 403 0 ""-"" ""python-requests/2.31"""
apache_access.log,7,apache,100.0,21/May/2026:08:14:02 +0000,45.33.32.156,,,GET,/wp-admin,404,0,,,"45.33.32.156 - - [21/May/2026:08:14:02 +0000] ""GET /wp-admin HTTP/1.1"" 404 0 ""-"" ""python-requests/2.31"""
apache_access.log,8,apache,100.0,21/May/2026:08:14:03 +0000,45.33.32.156,,,GET,/.env,404,0,,,"45.33.32.156 - - [21/May/2026:08:14:03 +0000] ""GET /.env HTTP/1.1"" 404 0 ""-"" ""python-requests/2.31"""
apache_access.log,9,apache,100.0,21/May/2026:08:15:44 +0000,192.168.1.99,,,GET,/dashboard,200,4421,,,"192.168.1.99 - - [21/May/2026:08:15:44 +0000] ""GET /dashboard HTTP/1.1"" 200 4421 ""-"" ""Mozilla/5.0"""
app_events.json,1,json,100.0,2026-05-21T09:12:00Z,10.0.0.7,,,,/api/transfer,500,,,Internal transfer failure,"{""timestamp"": ""2026-05-21T09:12:00Z"", ""level"": ""ERROR"", ""ip"": ""10.0.0.7"", ""path"": ""/api/transfer"", ""status"": 500, ""message"": ""Internal transfer failure""}"
app_events.json,2,json,100.0,2026-05-21T09:12:05Z,192.168.1.45,,,,/api/health,200,,,Health check passed,"{""timestamp"": ""2026-05-21T09:12:05Z"", ""level"": ""INFO"", ""ip"": ""192.168.1.45"", ""path"": ""/api/health"", ""status"": 200, ""message"": ""Health check passed""}"
